modality,rank,raw_license,count,pct_within_raw_mentions
speech,1,CC BY 4.0,20,18.02
speech,2,CC BY-SA 4.0,18,16.22
speech,3,Custom,14,12.61
speech,4,Unspecified,13,11.71
speech,5,CC0 1.0,12,10.81
speech,6,CC BY-NC-ND 4.0,7,6.31
speech,7,Apache 2.0,6,5.41
speech,8,CC BY-NC-SA 4.0,4,3.6
speech,9,LDC User Agreement,3,2.7
speech,10,CC BY-NC 4.0,2,1.8
speech,11,CSLU Agreement,2,1.8
speech,12,CC BY 3.0,2,1.8
text,1,Apache License 2.0,1262,19.53
text,2,CC BY-SA 4.0,829,12.83
text,3,MIT License,722,11.17
text,4,Unspecified,715,11.07
text,5,CC BY 4.0,403,6.24
text,6,CC BY-NC-SA 4.0,310,4.8
text,7,CC BY-NC 4.0,228,3.53
text,8,BSD 3-Clause License,186,2.88
text,9,OpenAI,163,2.52
text,10,Non Commercial,161,2.49
text,11,Custom,157,2.43
text,12,BSD 2-Clause License,150,2.32
video,1,Unspecified,37,35.24
video,2,Custom,28,26.67
video,3,CC BY 4.0,11,10.48
video,4,MIT License,9,8.57
video,5,CC BY-NC 4.0,7,6.67
video,6,CC BY-NC-SA 4.0,3,2.86
video,7,Apache License 2.0,3,2.86
video,8,CC BY 3.0,2,1.9
video,9,Non Commercial,2,1.9
video,10,BSD 2-Clause License,1,0.95
video,11,Apache 2.0,1,0.95
video,12,Various,1,0.95
